2025-06-17 09:40:52 | INFO | LocalVoiceVerifyingLibrary | 開始語音檢測流程: 播放='Hey Power Pro', 檢測='登登', 時長=5秒
2025-06-17 09:40:52 | ERROR | voice_sound_detector | 找不到參考聲音檔案: 登登
2025-06-17 09:40:52 | WARNING | LocalVoiceVerifyingLibrary | 參考聲音 '登登' 載入失敗，嘗試建立範例檔案
2025-06-17 09:40:52 | INFO | LocalVoiceVerifyingLibrary | 已建立參考聲音指引檔案: /Users/owenke/source/github.com/robot-test-project/libraries/local_voice_verifying/audio_samples/reference_sounds/登登_sample.txt
2025-06-17 09:40:52 | ERROR | voice_sound_detector | 找不到參考聲音檔案: 登登
2025-06-17 09:40:52 | INFO | voice_sound_detector | 檢測閾值設定為: 0.6
2025-06-17 09:40:52 | INFO | voice_sound_detector | 檢測閾值設定為: 0.7
2025-06-17 09:40:53 | INFO | voice_sound_detector | 檢測閾值設定為: 0.8
2025-06-17 09:40:53 | INFO | voice_sound_detector | 檢測閾值設定為: 0.9
2025-06-17 09:40:54 | INFO | voice_sound_detector | 檢測閾值設定為: 0.75
2025-06-17 09:40:54 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:40:54 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:40:54 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:40:54 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:40:54 | INFO | voice_tts_manager | TTS 語言設定為: en
2025-06-17 09:40:54 | INFO | voice_tts_manager | TTS 語言設定為: en
2025-06-17 09:40:54 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:40:54 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:40:54 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:40:54 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
2025-06-17 09:40:54 | ERROR | voice_sound_detector | 無效的閾值: 1.5，應在 0-1 範圍內
2025-06-17 09:40:54 | ERROR | voice_sound_detector | 無效的閾值: -0.1，應在 0-1 範圍內
2025-06-17 09:40:54 | ERROR | voice_sound_detector | 找不到參考聲音檔案: 不存在的聲音
2025-06-17 09:40:54 | WARNING | LocalVoiceVerifyingLibrary | 參考聲音 '不存在的聲音' 載入失敗，嘗試建立範例檔案
2025-06-17 09:40:54 | INFO | LocalVoiceVerifyingLibrary | 已建立參考聲音指引檔案: /Users/owenke/source/github.com/robot-test-project/libraries/local_voice_verifying/audio_samples/reference_sounds/不存在的聲音_sample.txt
2025-06-17 09:40:54 | ERROR | voice_sound_detector | 找不到參考聲音檔案: 不存在的聲音
2025-06-17 09:40:54 | ERROR | voice_sound_detector | 音訊檔案不存在: /不存在的路徑/test.wav
2025-06-17 09:40:54 | INFO | voice_tts_manager | TTS 資源清理完成
2025-06-17 09:40:54 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:40:54 | INFO | voice_sound_detector | 檢測歷史已清空
2025-06-17 09:40:54 | INFO | voice_sound_detector | 聲音檢測器資源清理完成
